"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0"
"67","7.1","2",0.368421052631579,"a",0.241379310344828,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28
"68","7.6","2",0.357142857142857,"a",0.178571428571429,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28
"69","8.2","2",0.538461538461538,"a",0.259259259259259,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28
"70","8.8","2",0.7,"a",0.28,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28
"71","9.4","2",0.875,"a",0.304347826086957,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28
"72","10","2",1,"a",0.318181818181818,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28
"73","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46
"74","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46
"75","8.2","0",0.5,"n",0.222222222222222,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46
"76","8.8","0",0.538461538461538,"n",0.28,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46
"77","9.4","0",0.538461538461538,"n",0.304347826086957,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46
"78","10","0",0.6,"n",0.409090909090909,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46
"79","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46
"80","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46
"81","8.2","1",0.0833333333333333,"n",0.037037037037037,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46
"82","8.8","1",0.0769230769230769,"n",0.04,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46
"83","9.4","1",0.153846153846154,"n",0.0869565217391304,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46
"84","10","1",0.0666666666666667,"n",0.0454545454545455,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46
"85","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46
"86","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46
"87","8.2","2",0.416666666666667,"n",0.185185185185185,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46
