"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka"
"117","15.7","2",1,"a",0.117647058823529,0.0560104551876394,9.2,23.7,34,0.191424223305194,1
"118","17.1","2",1,"a",0.0677966101694915,0.00843710959424007,26,0,59,0.155782896525993,1
"119","18.6","2",1,"a",0.0847457627118644,0.00881927822177381,27.2,0,59,0.173638912815901,1
"120","20","2",0.75,"a",0.0508474576271186,0.00910285006170468,28.5,0,59,0.189728834394545,1
"121","7.1","0",0.636363636363636,"n",0.583333333333333,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.1
"122","8.5","0",0.571428571428571,"n",0.516129032258065,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.1
"123","10","0",0.5,"n",0.444444444444444,0.0851740197641718,4.3,22,27,0.112063315447455,1.1
"124","11.4","0",0.294117647058824,"n",0.25,0.1585911495488,2.5,27.8,20,0.148940675893818,1.1
"125","12.8","0",0.538461538461538,"n",0.482758620689655,0.0765697639882834,5.8,24.3,29,0.15642671783744,1.1
"126","14.3","0",0.636363636363636,"n",0.518518518518518,0.0959867397593865,5.2,27.6,27,0.183034129130455,1.1
"127","15.7","0",0.666666666666667,"n",0.588235294117647,0.056220836105917,9.3,23.7,34,0.192007222401292,1.1
