"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"89","18.6","2",0.875,"n",0.538461538461538,0.314616264710909,0.300000000000001,40.7,13,0.245720008530535,0.7
"90","20","2",1,"n",0.615384615384615,0.320789487784372,0.799999999999997,41,13,0.248824090232121,0.7
"91","7.1","0",0,"a",0,0.273950171129881,0,20,13,0.0607167373526208,0.7
"92","8.5","0",0,"a",0,0.278462931101883,0.300000000000001,22.3,13,0.0779362721396069,0.7
"93","10","0",0,"a",0,0.289752706715203,0.4,25.2,13,0.104375564075236,0.7
"94","11.4","0",0,"a",0,0.240260569625739,0.300000000000001,27.7,15,0.136722661972771,0.7
"95","12.8","0",0,"a",0,0.297994791925453,0.4,30.5,13,0.162009737449857,0.7
"96","14.3","0",0,"a",0,0.303031491951214,0.4,33.2,13,0.189787495031684,0.7
"97","15.7","0",0,"a",0,0.307388129029084,0.300000000000001,35.6,13,0.211779445371366,0.7
"98","17.1","0",0,"a",0,0.314645602925786,0.399999999999999,37.5,13,0.226946804761754,0.7
"99","18.6","0",0,"a",0,0.314616264710909,0.300000000000001,40.7,13,0.245720008530535,0.7
"100","20","0",0,"a",0,0.320789487784372,0.799999999999997,41,13,0.248824090232121,0.7
"101","7.1","1",0,"a",0,0.273950171129881,0,20,13,0.0607167373526208,0.7
"102","8.5","1",0,"a",0,0.278462931101883,0.300000000000001,22.3,13,0.0779362721396069,0.7
"103","10","1",0,"a",0,0.289752706715203,0.4,25.2,13,0.104375564075236,0.7
"104","11.4","1",0.333333333333333,"a",0.0666666666666667,0.240260569625739,0.300000000000001,27.7,15,0.136722661972771,0.7
